,country,weapon,date,text
424,Egypt , Personnel Support Services," Jul 3, 2014 ","['WASHINGTON, Jul 3, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Egypt for personnel support services and…']"
425,United Kingdom , Globemaster III Sustainment Partnership," Jul 3, 2014 ","['WASHINGTON, Jul 3, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for continued participation…']"
426,India , UGM-84L Harpoon Missiles," Jul 1, 2014 ","['WASHINGTON, Jul 1, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to India for UGM-84L Harpoon missiles and…']"
427,United Kingdom , Tomahawk Block IV Torpedo Launched Land-Attack Missiles," Jul 1, 2014 ","['WASHINGTON, Jul 1, 2014 -\xa0The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for Tomahawk Block IV…']"
428,Kuwait , Facilities and Infrastructure Construction Support Services," Jun 30, 2014 ","['WASHINGTON, Jun 30, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Kuwait for facilities and infrastructure…']"
429,Mexico , UH-60M Black Hawk Helicopters," Jun 24, 2014 ","['WASHINGTON, Jun 24, 2014 -\xa0The State Department has made a determination approving a possible Foreign Military Sale to Mexico for UH-60M Black Hawk Helicopters…']"
430,Singapore , F-16 Pilot Training," Jun 17, 2014 ","['WASHINGTON, Jun 17, 2014 -\xa0The State Department has made a determination approving a possible Foreign Military Sale to Singapore for F-16 Pilot Training…']"
431,Brazil , M109A5 Upgrade Kits," Jun 11, 2014 ","['WASHINGTON, Jun 11, 2014 -\xa0The State Department has made a determination approving a possible Foreign Military Sale to Brazil for M109A5+ upgrade kits and…']"
432,Brazil , M113A2MK1 Upgrade Kits," Jun 11, 2014 ","['WASHINGTON, Jun 11, 2014 -\xa0The State Department has made a determination approving a possible Foreign Military Sale to Brazil for M113A2MK1 upgrade kits and…']"
433,Mexico ,  M1152 High Mobility Multi-Purpose Wheeled Vehicles (HMMWVs)," May 16, 2014 ","['WASHINGTON, May 16, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Mexico for M1152 High Mobility Multi-…']"
434,Iraq , M1151A1 Up-Armored High Mobility Multi-Purpose Wheeled Vehicles (HMMWVs)," May 13, 2014 ","['WASHINGTON, May 13, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Iraq for M1151A1 Up-Armored High Mobility Multi…']"
435,Iraq , Aerostats and Rapid Aerostat Initial Deployment Tower Systems ," May 13, 2014 ","['WASHINGTON, May 13, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Iraq for Aerostats and Rapid Aerostat…']"
436,Iraq , AT-6C Texan II Aircraft," May 13, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq for AT-6C Texan II aircraft and…
437,Australia , AIM 9X-2 Sidewinder Missiles," May 13, 2014 ","['WASHINGTON, May 13, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Australia for AIM 9X-2 Sidewinder missiles and…']"
438,Republic of Turkey , MK 48 TORPEDOES," May 12, 2014 ","['WASHINGTON, May 12, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Turkey for MK 48 Mod 6 Advanced Technology All-…']"
439,Belgium , F-16A/B Block 15 Aircraft Mid Life Upgrade," May 12, 2014 ","['WASHINGTON, May 12, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Belgium to upgrade its F-16A/B Block 15…']"
440,Brazil , AGM-84L Harpoon Block II Missiles," May 6, 2014 ","['WASHINGTON, May 6, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Brazil for AGM-84L Harpoon Block II…']"
441,Mexico , UH-60M Black Hawk Helicopters," Apr 21, 2014 ","['WASHINGTON, Apr 21, 2014 -\xa0The State Department has made a determination approving a possible Foreign Military Sale to Mexico for UH-60M Black Hawk Helicopters…']"
442,Kingdom of Saudi Arabia , Support Services ," Apr 21, 2014 ","['WASHINGTON, Apr 21, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Saudi Arabia for support services and…']"
443,Germany , P-3C Aircraft Upgrades and Related Support," Apr 11, 2014 ","['WASHINGTON, Apr 11, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Germany for P-3C aircraft upgrades and…']"
444,Korea , AIM-9X-2 Sidewinder Missiles," Apr 7, 2014 ","['WASHINGTON, Apr 7, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Korea for AIM-9X-2 Sidewinder Missiles and…']"
445,Pakistan , C-130 Fleet Upgrade Program," Mar 11, 2014 ","['WASHINGTON, Mar 11, 2014\xa0- The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Pakistan for a C-130 Fleet…']"
446,Norway , AIM-120C-7 AMRAAM Missiles," Feb 26, 2014 ","['WASHINGTON, Feb 26, 2014 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Norway for AIM-120C-7 AMRAAM…']"
447,Iraq , Air Traffic Control and Landing System," Feb 4, 2014 ","['WASHINGTON, Feb 4, 2014 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq for Air Traffic Control and…']"
448,Iraq , Support for APACHE Lease," Jan 27, 2014","['WASHINGTON, Jan 27, 2014-The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq for support for APACHE lease and…']"
449,Iraq , AH-64E APACHE LONGBOW Attack Helicopters," Jan 27, 2014","['WASHINGTON, Jan 27, 2014-The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq for AH-64E APACHE LONGBOW Attack…']"
450,United Arab Emirates , Equipment in Support of a Direct Commercial Sale of F-16 Block 61 Aircraft," Jan 24, 2014 ","['WASHINGTON, Jan 24, 2014 – The Defense Security Cooperation Agency notified Congress on Jan 23 of a possible Foreign Military Sale to the United Arab Emirates (UAE)…']"
451,Iraq , AGM -114K/R Hellfire Missiles," Jan 23, 2014","['WASHINGTON, Jan 23, 2014-The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq for AGM-114K/R Hellfire Missiles…']"
452,Libya , General Purpose Force Training," Jan 22, 2014 ","['WASHINGTON, Jan 22, 2014 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Libya for General Purpose Force…']"
453,Singapore , F-16 Block 52 Upgrade," Jan 14, 2014 ","['WASHINGTON, Jan 14, 2014 – The Defense Security Cooperation Agency notified Congress January 13 of a possible Foreign Military Sale to Singapore for an upgrade of F-…']"
454,Israel , V-22B Block C Aircraft," Jan 14, 2014 ","['WASHINGTON, Jan 14, 2014 – The Defense Security Cooperation Agency notified Congress January 13 of a possible Foreign Military Sale to Israel for V-22B Block C…']"
455,United Arab Emirates (UAE) , Blanket Order Training," Jan 8, 2014 ","['WASHINGTON, Jan 8, 2014\xa0- The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the United Arab Emirates (UAE)…']"
456,Norway ," Technical, Engineering, and Software Support for C-130J"," Dec 19, 2013 ","['WASHINGTON, Dec 19, 2013 – The Defense Security Cooperation Agency notified Congress on Dec 18 of a possible Foreign Military Sale to Norway of technical, engineering…']"
457,Austria , UH-60M Black Hawk Helicopters," Dec 5, 2013 ","['WASHINGTON, Dec 5, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Austria for UH-60M Black Hawk…']"
458,Kingdom of Saudi Arabia ," Tube-Launched, Optically-Tracked Wire-Guided Missiles"," Dec 5, 2013 ","['WASHINGTON, Dec 5, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Kingdom of Saudi Arabia for tube-…']"
459,The Kingdom of Saudi Arabia ," Tube-Launched, Optically-Tracked Wire-Guided 2A/2B Radio-Frequency (RF) Missiles"," Dec 5, 2013 ","['WASHINGTON, Dec 5, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Kingdom of Saudi Arabia for tube-…']"
460,Government of Kuwait , Follow-on Contractor Engineering Technical Services for Kuwait Air Force F/A-18 C/D," Dec 5, 2013 ","['WASHINGTON, Dec 5, 2013 – The Defense Security Cooperation Agency notified Congress on Dec 4 of a possible Foreign Military Sale to the Government of Kuwait for F/A-…']"
461,Switzerland , F/A-18 Hornet Follow-On Support," Dec 5, 2013 ","['WASHINGTON, Dec 5, 2013 – The Defense Security Cooperation Agency notified Congress on Dec 4 of a possible Foreign Military Sale to the Government of Switzerland for…']"
462,The Republic of Korea , CH-47D Aircraft," Dec. 3, 2013 ","['WASHINGTON, Dec. 3, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Republic of Korea for CH-47D…']"
463,Republic of Korea (ROK) , Support for the KF-16 Upgrade (Phase 1) ," Nov 25, 2013 ","['\xa0WASHINGTON, Nov 25, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Republic of…']"
464,Kingdom of Saudi Arabia , C4I System Upgrades and Maintenance," Nov 18, 2013 ","['WASHINGTON, Nov 18, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Saudi Arabia of C4I system upgrades…']"
465, Romania ," Weapons, Equipment, and Support for F-16 Block 15 MLU Aircraft "," Nov 8, 2013 ","['WASHINGTON, Nov 8, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Romania of weapons, equipment, and…']"
466,Singapore , Guided Multiple Launch Rocket System ," Oct. 29, 2013 ","['WASHINGTON, Oct. 29, 2013 – The Defense Security Cooperation Agency notified Congress Oct. 25 of a possible Foreign Military Sale to Singapore for Guided Multiple…']"
467,The Republic of Korea , Patriot Anti-Tactical Missiles," Oct. 25, 2013 ","['WASHINGTON, Oct. 25, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Republic of Korea for Patriot…']"
468,United Arab Emirates (UAE) , Various Munitions and Support ," Oct. 15, 2013 ","['WASHINGTON, Oct. 15, 2013 – The Defense Security Cooperation Agency notified Congress Oct. 11 of a possible Foreign Military Sale to the United Arab Emirates of…']"
469,Kingdom of Saudi Arabia , Support Services ," Oct. 15, 2013 ","['WASHINGTON, Oct. 15, 2013 – The Defense Security Cooperation Agency notified Congress on Oct. 11 of a possible Foreign Military Sale to Saudi Arabia of support…']"
470,Saudi Arabia , Various Munitions and Support," Oct. 15, 2013 ","['WASHINGTON, Oct. 15, 2013 – The Defense Security Cooperation Agency notified Congress on Oct. 11 of a possible Foreign Military Sale to Saudi Arabia of various…']"
471,Singapore , AN/TPQ-53 Counter fire Acquisition Radar Systems," Oct. 8, 2013 ","['WASHINGTON, Oct. 8, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Singapore of 6 AN/TPQ-53 (V)…']"
472,Japan,Airborne Warning and Control System (AWACS) Mission Computing Upgrade (MCU)," September 26, 2013 ","['WASHINGTON, September 26, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Japan of an E-767…']"
473,Belgium , AIM-9X-2 SIDEWINDER MISSILES," September 26, 2013 ","['WASHINGTON, September 26, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Belgium of AIM-9X-2…']"
474,Tunisia , F-5 Avionics Upgrade," September 19, 2013 ",The Defense Security Cooperation Agency notified Congress on September 18 of a possible Foreign Military Sale to Tunisia of F-5…
475,Saudi Arabia , Sustainment and Support ," August 23, 2013 ",The Defense Security Cooperation Agency notified Congress Aug 22 of a possible Foreign Military Sale to Saudi Arabia of follow-on…
476,The Government of Australia , Munitions," August 12, 2013 ","['WASHINGTON, August 12, 2013 – The Defense Security Cooperation Agency notified Congress Aug 8 of a possible Foreign Military Sale to Australia of munitions and…']"
477,India , M777 155mm Light-Weight Towed Howitzers," August 7, 2013 ","['WASHINGTON, August 7, 2013 – The Defense Security Cooperation Agency notified Congress Aug 2 of a possible Foreign Military Sale India of 145 M777 155mm Light-Weight…']"
478,Iraq, Mobile Troposcatter Radio Systems," August 5, 2013 ","['WASHINGTON, August 5, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of Mobile Troposcatter Radio…']"
479,Iraq , Integrated Air Defense System," August 5, 2013 ","['WASHINGTON, August 5, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of an Integrated Air Defense…']"
480,Qatar , AN/FPS-132 Block 5 Early Warning Radar," July 29, 2013 ","['WASHINGTON, July 29, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Qatar of one (1) A/N FPS-132 Block…']"
481,Iraq , Multi-Platform Maintenance Support," July 25, 2013 ","['WASHINGTON, July 25, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of Multi-Platform Maintenance…']"
482,Iraq , Bell 412 EP Helicopters," July 25, 2013 ","['WASHINGTON, July 25, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of 12 Bell 412 EP helicopters…']"
483,Iraq ," M1135 Stryker Nuclear, Biological, and Chemical Reconnaissance Vehicles"," July 25, 2013 ","['\nWASHINGTON, July 25, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of 50 M1135 Stryker…']"
484,Greece , Spare Parts and Services for F100-PW-229 Engines," July 11, 2013 ","['WASHINGTON, July 11, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Greece for the purchase of spare…']"
485,Kingdom of Saudi Arabia , Mark V Patrol Boats," July 10, 2013 ","['WASHINGTON, July 10, 2013 – The Defense Security Cooperation Agency notified Congress July 9 of a possible Foreign Military Sale to Saudi Arabia of 30 Mark V patrol…']"
486,Australia , MK 54 Lightweight Torpedoes," July 2, 2013 ","['WASHINGTON, July 2, 2013 – The Defense Security Cooperation Agency notified Congress on July 1, 2013 of a possible Foreign Military Sale to Australia of up to 100 MK…']"
487,France , MQ-9 Reapers," June 27, 2013 ","['WASHINGTON, June 27, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to France of 16 MQ-9 Reaper Remotely…']"
488,Finland , F-18 Mid-Life Upgrade Program," June 27, 2013 ","['WASHINGTON, June 27, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale of follow-on equipment and support for…']"
489,Qatar , C-17 Globemaster III Equipment and Support," June 27, 2013 ","['WASHINGTON, June 27, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Qatar of 2 F117-PW-100 C-17…']"
490,Saudi Arabia , Saudi Arabian National Guard Modernization Program," June 20, 2013 ","['WASHINGTON, June 20, 2013 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Saudi Arabia for the continuation…']"
491,Thailand, UH-72A Lakota Helicopters," June 20, 2013 ","['WASHINGTON, June 20, 2013 – The Defense Security Cooperation Agency notified Congress June 7 of a possible Foreign Military Sale to Thailand of 6 UH-72A…']"
492,Libya , C-130J-30 Aircraft," June 10, 2013 ","['WASHINGTON, June 10, 2013 – The Defense Security Cooperation Agency notified Congress June 7 of a possible Foreign Military Sale to Libya of 2 C-130J-30 aircraft and…']"
493,Government of Kuwait , Technical/Logistics Support for F/A-18 C/D Aircraft," June 10, 2013 ","['WASHINGTON, June 10, 2013 – The Defense Security Cooperation Agency notified Congress June 7 of a possible Foreign Military Sale to Kuwait of technical and logistics…']"
494,Republic of Korea , F-15SE Aircraft Weapons," May 22, 2013 ","['WASHINGTON, May 22, 2013 – The Defense Security Cooperation Agency notified Congress May 21 of a possible Foreign Military Sale to the Republic of Korea (ROK) for…']"
495,Republic of Korea , F-35 Aircraft Weapons," May 22, 2013 ","['WASHINGTON, May 22, 2013 – The Defense Security Cooperation Agency notified Congress May 21 of a possible Foreign Military Sale to the Republic of Korea (ROK) for F-…']"
496,The Netherlands , F-16 Pilot Training and Logistics Support," May 20, 2013 ","['WASHINGTON, May 20, 2013 – The Defense Security Cooperation Agency notified Congress May 17 of a possible Foreign Military Sale to the Netherlands for the…']"
497,Qatar , AN/AAQ-24(V) Large Aircraft Infrared Countermeasures (LAIRCM) Systems," May 15, 2013 ","['WASHINGTON, May 15, 2013 – The Defense Security Cooperation Agency notified Congress May 14 of a possible Foreign Military Sale to Qatar for two AN/AAQ-24(V) Large…']"
498,Oman , AN/AAQ-24(V) Large Aircraft Infrared Countermeasures (LAIRCM) Systems," May 15, 2013 ","['WASHINGTON, May 15, 2013 – The Defense Security Cooperation Agency notified Congress May 14 of a possible Foreign Military Sale to Oman for two AN/AAQ-24(V) Large…']"
499,Israel ," JP-8 Aviation Fuel, Diesel Fuel, and Unleaded Gasoline"," April 17, 2013 ","['WASHINGTON, April 17, 2013 – The Defense Security Cooperation Agency notified Congress April 16 of a possible Foreign Military Sale to Israel for 864,000,000 gallons…']"
500,United Kingdom , Follow-On Support for Tomahawk Weapon System (TWS)," April 17, 2013 ","['WASHINGTON, April 17, 2013 – The Defense Security Cooperation Agency notified Congress April 16 of a possible Foreign Military Sale to the United Kingdom for follow-…']"
501,NATO , C-17 Follow-On Support," April 17, 2013 ","['WASHINGTON, April 17, 2013 – The Defense Security Cooperation Agency notified Congress April 16 of a possible Foreign Military Sale to a NATO consortium for follow-on…']"
502,United Kingdom, HELLFIRE Missiles," April 17, 2013 ","['WASHINGTON, April 17, 2013 – The Defense Security Cooperation Agency notified Congress April 16 of a possible Foreign Military Sale to the United Kingdom for 500 AGM-…']"
503,Kuwait , C-17 GLOBEMASTER III," April 17, 2013 ","['WASHINGTON, April 17, 2013 – The Defense Security Cooperation Agency notified Congress April 16 of a possible Foreign Military Sale to Kuwait for 1 C-17 GLOBEMASTER…']"
504,Singapore , AIM-9X SIDEWINDER Missiles," April 4, 2013 ","['WASHINGTON, April 4, 2013 – The Defense Security Cooperation Agency notified Congress April 3 of a possible Foreign Military Sale to the Government of the Republic of…']"
505,Singapore , AIM-120C7 AMRAAM and Related Support," April 4, 2013 ","['WASHINGTON, April 4, 2013 – The Defense Security Cooperation Agency notified Congress April 3 of a possible Foreign Military Sale to the Government of the Republic of…']"
506,Korea , F-35 Joint Strike Fighter Aircraft," April 3, 2013 ","['WASHINGTON, April 3, 2013 – The Defense Security Cooperation Agency notified Congress March 29 of a possible Foreign Military Sale to the Government of Korea for 60 F…']"
507,Korea , F-15 Silent Eagle Aircraft Support," April 3, 2013 ","['WASHINGTON, April 3, 2013 – The Defense Security Cooperation Agency notified Congress March 29 of a possible Foreign Military Sale to the Government of Korea in…']"
508,Qatar , Javelin Missiles," March 28, 2013 ","['WASHINGTON, March 28, 2013 – The Defense Security Cooperation Agency notified Congress March 26 of a possible Foreign Military Sale to Qatar for 500 Javelin Guided…']"
509,Iraq , RAPISCAN System Vehicles," February 28, 2013 ","['WASHINGTON, February 28, 2013 – The Defense Security Cooperation Agency notified Congress Feb. 27 of a possible Foreign Military Sale to Iraq for a number of RAPISCAN…']"
510,Australia , F/A-18E/F Super Hornet and EA-18G Growler Aircraft," February 28, 2013 ","['WASHINGTON, February 28, 2013 – The Defense Security Cooperation Agency notified Congress Feb. 27 of a possible Foreign Military Sale to Australia for up to 12 F/A-…']"
511,Turkey , AIM-9X-2 SIDEWINDER Missiles," December 24, 2012 ","['WASHINGTON, December 24, 2012 – The Defense Security Cooperation Agency notified Congress Dec. 21 of a possible Foreign Military Sale to the Government of Turkey for…']"
512,Republic of Korea , RQ-4 Block 30 (I) Global Hawk Remotely Piloted Aircraft," December 24, 2012 ","['WASHINGTON, December 24, 2012 – The Defense Security Cooperation Agency notified Congress Dec. 21 of a possible Foreign Military Sale to the Republic of Korea for…']"
513,Government of Iraq , VSAT Operations and Maintenance Support and Services," December 24, 2012 ","['WASHINGTON, December 24, 2012 – The Defense Security Cooperation Agency notified Congress Dec. 21 of a possible Foreign Military Sale to the Government of Iraq for…']"
514,Qatar ," HIMARS, ATACMS, and GMLRS"," December 24, 2012 ","['WASHINGTON, December 24, 2012 – The Defense Security Cooperation Agency notified Congress Dec. 21 of a possible Foreign Military Sale to the Government of Qatar for…']"
515,Israel , Munitions," December 20, 2012 ","['WASHINGTON, December 20, 2012 – The Defense Security Cooperation Agency notified Congress Dec. 14 of a correction to a possible Foreign Military Sale to Israel of 6,…']"
516,Oman , F-16 A/C Weapon Systems," December 12, 2012 ","['WASHINGTON, December 12, 2012 – The Defense Security Cooperation Agency notified Congress Dec. 11 of a possible Foreign Military Sale to Oman for a number of F-16 A/C…']"
517,Japan , AEGIS Weapon System Upgrade," December 10, 2012 ","['WASHINGTON, December 10, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Japan for the upgrade of…']"
518,Saudi Arabia , PATRIOT PAC-2 Guided Enhanced Missiles (GEM) Recertification," November 28, 2012 ","['WASHINGTON, November 28, 2012 – The Defense Security Cooperation Agency notified Congress November 26 of a possible Foreign Military Sale to the Kingdom of Saudi…']"
519,Saudi Arabia , Cooperative Logistics Supply Support Arrangement," November 26, 2012 ","['WASHINGTON, November 26, 2012 – The Defense Security Cooperation Agency notified Congress Nov 26 of a possible Foreign Military Sale to the Kingdom of Saudi Arabia…']"
520,Oman , Javelin Missiles," November 19, 2012 ","['WASHINGTON, November 19, 2012 – The Defense Security Cooperation Agency notified Congress November 15 of a possible Foreign Military Sale to the Government of Oman…']"
521,Indonesia , Javelin Missiles," November 19, 2012 ","['WASHINGTON, November 19, 2012 – The Defense Security Cooperation Agency notified Congress November 15 of a possible Foreign Military Sale to the Government of…']"
522,Saudi Arabia , C-130J-30 and KC-130J Aircraft," November 9, 2012 ","['WASHINGTON, November 9, 2012 – The Defense Security Cooperation Agency notified Congress Nov. 8 of a possible Foreign Military Sale to the Kingdom of Saudi Arabia for…']"
523,Qatar , PATRIOT Missile System and Related Support and Equipment," November 7, 2012 ","['WASHINGTON, November 7, 2012 – The Defense Security Cooperation Agency notified Congress Nov. 6 of a possible Foreign Military Sale to the Government of Qatar for the…']"
524,Qatar , Terminal High Altitude Area Defense (THAAD)," November 5, 2012 ",The Defense Security Cooperation Agency notified Congress November 2 of a possible Foreign Military Sale to the Government of Qatar for…
525,United Arab Emirates , Terminal High Altitude Area Defense System Missiles (THAAD)," Nov. 5, 2012 ","['WASHINGTON, Nov. 5, 2012 -\xa0The Defense Security Cooperation Agency notified Congress November 2 of a possible Foreign Military Sale to the Government of the…']"
526,Netherlands ,AIM-9X-2 SIDEWINDER Missiles," October 17, 2012 ","['WASHINGTON, October 17, 2012 – The Defense Security Cooperation Agency notified Congress October 16 of a possible Foreign Military Sale to the Government of the…']"
527,Mexico , C-130J-30 Aircraft," September 25, 2012","['WASHINGTON, September 25, 2012– The Defense Security Cooperation Agency notified Congress September 21 of a possible Foreign Military Sale to the Government of Mexico…']"
528,Republic of Korea (ROK) , AH-64D APACHE Attack Helicopters," September 25, 2012 ","['WASHINGTON, September 25, 2012 – The Defense Security Cooperation Agency notified Congress September 21 of a possible Foreign Military Sale to the Government of Korea…']"
529,Korea , 36 AH-1Z COBRA Attack Helicopters," September 25, 2012 ","['WASHINGTON, September 25, 2012 – The Defense Security Cooperation Agency notified Congress September 21 of a possible Foreign Military Sale to the Government of Korea…']"
530,Indonesia , AH-64D APACHE Block III LONGBOW Attack Helicopters," Sept. 21, 2012 ","['WASHINGTON, Sept. 21, 2012 – The Defense Security Cooperation Agency notified Congress September 19 of a possible Foreign Military Sale to the Government of Indonesia…']"
531,Indonesia , AGM-65K2 MAVERICK Missiles," August 22, 2012 ","['WASHINGTON, August 22, 2012 – The Defense Security Cooperation Agency notified Congress August 21 of a possible Foreign Military Sale to the Government of Indonesia…']"
532,Kingdom of Saudi Arabia ,"Intelligence, Surveillance, and Reconnaissance (ISR) Suites and Support"," August 15, 2012 ","['WASHINGTON, August 15, 2012 – The Defense Security Cooperation Agency notified Congress August 9 of of a possible Foreign Military Sale to the Government of the…']"
533,Iraq , Air Traffic Control and Landing System," August 15, 2012 ","['WASHINGTON, August 15, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Iraq for…']"
534,Thailand , Evolved SEASPARROW Missiles (ESSM)," August 8, 2012 ","['WASHINGTON, August 8, 2012 – The Defense Security Cooperation Agency notified Congress August 7 of a possible Foreign Military Sale to the Government of Thailand for…']"
535,Belgium , Javelin Missiles," August 6, 2012 ","['WASHINGTON, August 6, 2012 – The Defense Security Cooperation Agency notified Congress Aug. 3 of a possible Foreign Military Sale to the Government of Belgium for 240…']"
536,Kingdom of Saudi Arabia , Follow-On Support," August 6, 2012 ","['WASHINGTON, August 6, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of the Kingdom of…']"
537,Brazil , Assault Amphibious Vehicles," August 1, 2012 ","['WASHINGTON, August 1, 2012 – The Defense Security Cooperation Agency notified Congress July 31 of a possible Foreign Military Sale to the Government of Brazil for 26…']"
538,United Arab Emirates , F117-PW-100 Engines," August 1, 2012 ","['WASHINGTON, August 1, 2012 – The Defense Security Cooperation Agency notified Congress July 31 of a possible Foreign Military Sale to the Government of the United…']"
539,Iraq , FIREFINDER Radars," July 20, 2012 ","['WASHINGTON, July 20, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Iraq for 12…']"
540,Thailand , UH-60M BLACK HAWK Helicopters," July 20, 2012 ","['WASHINGTON, July 20, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Thailand for four…']"
541,Kuwait , PATRIOT Advanced Capability (PAC-3) Missiles," July 20, 2012 ","['WASHINGTON, July 20, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Kuwait for 60…']"
542,Lebanon , Huey II helicopters," July 20, 2012 ","['WASHINGTON, July 20, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Lebanon for six…']"
543,Poland , Ground Controlled Approach Radar Systems," July 12, 2012 ","['WASHINGTON, July 12, 2012 – The Defense Security Cooperation Agency notified Congress July 11 of a possible Foreign Military Sale to the Government of Poland for nine…']"
544,Qatar , AGM-114K3A or AGM-114R3 HELLFIRE Missiles," July 12, 2012 ","['WASHINGTON, July 12, 2012 – The Defense Security Cooperation Agency notified Congress July 10 of a possible Foreign Military Sale to the Government of Qatar for 700…']"
545,Qatar , AH-64D APACHE Block III LONGBOW Attack Helicopters," July 12, 2012 ","['WASHINGTON, July 12, 2012 – The Defense Security Cooperation Agency notified Congress July 10 of a possible Foreign Military Sale to the Government of Qatar for 24 AH…']"
546,Kuwait , Follow-On Logistics and Technical Support," July 12, 2012 ","['WASHINGTON, July 12, 2012 – The Defense Security Cooperation Agency notified Congress July 10 of a possible Foreign Military Sale to the Government of Kuwait for…']"
547,Kuwait , Joint Helmet Mounted Cueing Systems (JHMCS)," June 28, 2012 ","['WASHINGTON, June 28, 2012 – The Defense Security Cooperation Agency notified Congress June 26 of a possible Foreign Military Sale to the Government Kuwait of 43 Joint…']"
548,Qatar , MH-60R and MH-60S Multi-Mission Helicopters," June 28, 2012 ","['WASHINGTON, June 28, 2012 – The Defense Security Cooperation Agency notified Congress June 26 of a possible Foreign Military Sale to the Government Qatar of 10 MH-60R…']"
549,Kuwait , AGM-114R3 HELLFIRE Missiles," June 28, 2012 ","['WASHINGTON, June 28, 2012 – The Defense Security Cooperation Agency notified Congress June 26 of a possible Foreign Military Sale to the Government Kuwait of 300 AGM-…']"
550,Kingdom of Morocco ," M1A1 SA Abrams Tank Enhancement, Support and Equipment"," June 18, 2012 ","['WASHINGTON, June 18, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of the Kingdom of…']"
551,Qatar , UH-60M BLACK HAWK Helicopters," June 13, 2012 ","['WASHINGTON, June 13, 2012 – The Defense Security Cooperation Agency notified Congress on June 12 of a possible Foreign Military Sale to the Government of Qatar of 12…']"
